ID,code_du_bureau_de_vote,adresse_orig,nb_inscrits,logements_total,etages_moy,X,Y
237,23,11 RUE ANDRÉ PERCHICOT,1,1.0,2.0,-1.4661349999999995,43.508982
238,25,12 RUE ANDRÉ PERCHICOT,5,1.0,1.0,-1.4661330000000012,43.508869
239,23,13 RUE ANDRÉ PERCHICOT,2,1.0,1.0,-1.4658929999999992,43.508953999999996
240,25,14 RUE ANDRÉ PERCHICOT,2,2.0,2.0,-1.4659679999999993,43.50884800000001
241,23,15 RUE ANDRÉ PERCHICOT,2,1.0,1.0,-1.4656489999999998,43.50892600000001
242,25,16 RUE ANDRÉ PERCHICOT,2,2.0,2.0,-1.4658429999999996,43.50883499999999
243,23,17 RUE ANDRÉ PERCHICOT,2,1.0,1.0,-1.465451,43.50890100000001
244,25,18 RUE ANDRÉ PERCHICOT,1,1.0,1.0,-1.465643999999999,43.508814
245,21,1 IMPASSE BERNARD TAMBOURINDEGUY,1,0.0,,-1.486648,43.511086
246,21,3 IMPASSE BERNARD TAMBOURINDEGUY,1,0.0,,-1.4868779999999997,43.51095499999999
247,21,4 IMPASSE BERNARD TAMBOURINDEGUY,1,0.0,,-1.486762999999999,43.51070800000001
248,21,6 IMPASSE BERNARD TAMBOURINDEGUY,2,0.0,,-1.4866280000000003,43.51072400000001
249,21,9 IMPASSE BERNARD TAMBOURINDEGUY,3,1.0,1.0,-1.4862069999999992,43.51085400000001
250,21,10 IMPASSE BERNARD TAMBOURINDEGUY,2,2.0,1.5,-1.486204,43.510783999999994
251,21,11 IMPASSE BERNARD TAMBOURINDEGUY,2,1.0,1.0,-1.4859820000000001,43.510874
252,21,12 IMPASSE BERNARD TAMBOURINDEGUY,4,2.0,1.0,-1.4859270000000004,43.510816000000005
253,21,14 IMPASSE BERNARD TAMBOURINDEGUY,2,1.0,2.0,-1.4856410000000002,43.51085200000001
254,21,15 IMPASSE BERNARD TAMBOURINDEGUY,4,1.0,2.0,-1.4855019999999992,43.510927999999986
255,21,16 IMPASSE BERNARD TAMBOURINDEGUY,1,1.0,2.0,-1.485433,43.510874
256,21,17 IMPASSE BERNARD TAMBOURINDEGUY,1,1.0,2.0,-1.485292999999999,43.51094899999999
257,21,18 IMPASSE BERNARD TAMBOURINDEGUY,2,1.0,2.0,-1.485239000000001,43.51089199999999
258,21,19 IMPASSE BERNARD TAMBOURINDEGUY,1,1.0,2.0,-1.4850890000000003,43.51097700000001
259,21,20 IMPASSE BERNARD TAMBOURINDEGUY,1,1.0,2.0,-1.4850449999999997,43.510909000000005
260,19,1 RUE ANTOINE LABARTHE,2,1.0,2.0,-1.4830860000000001,43.48917200000003
261,19,4 RUE ANTOINE LABARTHE,2,1.0,3.0,-1.483152000000001,43.48930000000001
262,19,5 RUE ANTOINE LABARTHE,4,13.0,4.0,-1.4836630000000002,43.489304000000004
263,19,6 RUE ANTOINE LABARTHE,4,1.0,2.0,-1.483308999999999,43.489335
264,19,7 RUE ANTOINE LABARTHE,22,0.0,,-1.4838520000000002,43.489327999999986
265,19,10 RUE ANTOINE LABARTHE,2,1.0,2.0,-1.4835249999999984,43.489383999999994
266,19,14 RUE ANTOINE LABARTHE,1,2.0,3.0,-1.4836399999999992,43.48940799999998
267,19,14BIS RUE ANTOINE LABARTHE,3,3.0,3.0,-1.483715,43.489425000000004
268,19,16 Rue Antoine Labarthe,3,0.0,,-1.4839239999999994,43.48940799999998
269,15,31 AVENUE DE L'AQUITAINE,11,0.0,,-1.4645560000000004,43.48665600000001
270,15,33 AVENUE DE L'AQUITAINE,3,0.0,,-1.4641790000000006,43.48678099999998
271,8,2 CHEMIN D'ARANCETTE,12,,,-1.4871530000000002,43.483223
272,8,1 CHEMIN D'ARANCETTE,7,4.0,2.0,-1.4854299999999994,43.48368999999998
273,8,10 CHEMIN D'ARANCETTE,2,1.0,2.0,-1.4871279999999998,43.483766999999986
274,8,14 CHEMIN D'ARANCETTE,45,0.0,1.0,-1.487426999999998,43.483591999999994
275,8,20 CHEMIN D'ARANCETTE,9,8.0,4.0,-1.4877209999999996,43.48252999999999
276,8,24 CHEMIN D'ARANCETTE,28,0.0,,-1.4880949999999995,43.4823
277,8,22 CHEMIN D'ARANS,4,,,-1.4790120000000002,43.483697
278,8,3 CHEMIN D'ARANS,3,4.0,4.0,-1.4798409999999989,43.484224
279,8,4 CHEMIN D'ARANS,1,111.0,12.0,-1.479960000000001,43.48415800000001
280,8,9 CHEMIN D'ARANS,2,2.0,2.0,-1.4795100000000005,43.484093
281,8,16 CHEMIN D'ARANS,2,1.0,2.0,-1.4793370000000003,43.48392100000002
282,8,20 CHEMIN D'ARANS,8,6.0,3.0,-1.4787459999999994,43.483726
283,8,22BIS CHEMIN D'ARANS,1,1.0,2.0,-1.4785190000000006,43.48364600000002
